0,1,2,3,4,5
设备材料表,,,,,
符号,名称,型号及规格,单位,数量,安装方式
[],应急照明双电源切换箱,[],套云,[],挂墙明装，底边距地1.6m
[],A型应急照明集中电源箱,"DC36V,防护等级IP43，",套,[],挂墙明装，底边距地1.4m
[],应急吸顶灯,"LED灯5W,DC36V",[],[],吸顶或距地2.4m，IP30
[],疏散出口标志灯(中型),"LED ~1W,IP30",[],[],明装，门上0.1m
[],安全出口标志灯（中型),"LED~1W,IP30 DC36V,巡检、常亮、频闪",皿,[],明装，门上0.1m
NF,楼层标志灯(中型),"LED~1W,IP30 DC36V,巡检、常亮",戋,[],明装，底边距地2.5m
[],单向疏散指示灯(单面右向，中型),"LED~1W,IP30 DC36V巡检、常亮频",线,[],明装，底边距地0.5m
[],单向疏散指示灯(单面左向，中型),"LED~1W,IP30 DC36V,巡检、常亮、频闪",戋,[],明装，底边距地0.5m
[],"单向疏散指示灯(单面左向,中型)","LED~1W,IP30 DC36V巡检、常亮频",戋,[],明装，底边距地2.5m
[],"单向疏散指示灯(单面右向,中型)","LED~1W,IP30 DC36V,巡检、常亮、频闪",[],[],明装，底边距地2.5m
[],多信息复合标志灯（单面单向，中型）,"LED~1W,IP30 DC36V,巡常亮、频",,[],明装，2.5m吊装安装
